編號,使用執照號碼,原建照編號,棟別編號,勘災組編號,建物名稱,地址,Latitude,Longitude,建築物用途說明,高度,樓層,分數,風險等級,張貼紅色危險標誌,張貼黃色危險標誌,綠標(未貼單/已補強),class,預定勘災日,紅黃單有無使照註記,GPS座標E,GPS座標N,勘災人員現場震損判斷,上傳NCREE,drawing,photo,GPS_lon,GPS_lat
,,,,,,花蓮市主工里2鄰後 文創園區圍牆,23.9761345,121.6045476,,,,,,,2.0,,2,,,,,,,,,121.6045476,23.9761345
,,,,,,花蓮市國光里明禮路16號,23.9818278,121.6089814,,,,,,,2.0,,2,,,,,,,,,121.6089814,23.9818278
,,,,,圍牆,花蓮市國興里介林八街10號,23.9964177,121.5734856,,,,,,,2.0,,2,,,,,,,,,121.5734856,23.9964177
,,,,,圍牆,花蓮市國興里介林八街14號,23.9964831,121.5732771,,,,,,,2.0,,2,,,,,,,,,121.5732771,23.9964831
,,,,,,花蓮市主農里中順街39號,23.9679755,121.5976883,,,,,,,2.0,,2,,,,,,,,,121.5976883,23.9679755
,,,,,圍牆,花蓮市主信里忠孝街58號,23.9742949,121.6064477,,,,,,,2.0,,2,,,,,,,,,121.6064477,23.9742949
,,,,,圍牆、輕型鋼,花蓮市國光里林森路266號,23.982676,121.607773,,,,,,,2.0,,2,,,,,,,,,121.607773,23.982676
,,,,,和勝江山,花蓮市主農里長安街26號,23.9670739,121.5969753,,,,,,,2.0,,2,,,,,,,,,121.5969753,23.9670739
,,,,,,花蓮市民族里軒轅路18號,23.9753494,121.6118289,,,,,,,2.0,,2,,,,,,,,,121.6118289,23.9753494
,,,,,,吉安鄉太昌村太昌路426號,23.9918043,121.5667232,,,,,,,2.0,,2,,,,,,,,,121.5667232,23.9918043
,,,,,,花蓮市民主里海濱街51之1號,23.9736046,121.6149167,,,,,,,2.0,,2,,,,,,,,,121.6149167,23.9736046
,,,,,,花蓮市民主里北濱街4之1號,23.9726683,121.6131903,,,,,,,2.0,,2,,,,,,,,,121.6131903,23.9726683
,,,,,德安花園廣場大樓圍牆,花蓮市主權里德安二街68巷38號圍牆,23.9737161,121.5919388,,,,,,,2.0,,2,,,,,,,,,121.5919388,23.9737161
